Burger & Relish (Osu),1 votes4.0,"Osu, Accra","American, Burgers, Juice & Smoothies","Bar & Lounge, Brunch, Dinner, Great for Groups, Great for Kids, Late Night Dining, Live Music, Lunch, PoS, Romantic, Wifi",₵100 approx. cost for 2 persons
Soho Bar & Restaurant,1 votes4.0,"Airport City, Accra","Asian, Japanese, Sushi","Bar & Lounge, Dinner, Great for Groups, Great for Kids, Late Night Dining, Live Music, Lunch, PoS",₵200 approx. cost for 2 persons
Buka,1 votes4.0,"Osu, Accra","African, Ghanaian, Ivorian, Nigerian, Senegalese, Togolese","Bar & Lounge, Great for Groups, Great for Kids, Outdoor Seating, PoS",₵150 approx. cost for 2 persons
Bush Kanteen,1 votes4.0,"East Legon, Accra","African, Ghanaian","Breakfast, Cash only, Dinner, Great for Groups, Lunch",₵35 approx. cost for 2 persons
Lord Of The Wings (East Legon),1 votes4.0,"East Legon, Accra","American, Burgers, Ice Cream, Salads, Sandwiches, Steak","Bar & Lounge, Brunch, Dinner, Great for Groups, Great for Kids, Late Night Dining, Lunch, Outdoor Seating, Shisha, Wifi",₵250 approx. cost for 2 persons
Salma's Eatery and Pub,1 votes4.0,"East Legon, Accra","Barbecue, Grills, Nigerian, Pepper Soup","Bar & Lounge, Breakfast, Dinner, Great for Groups, Late Night Dining, Lunch",₵80 approx. cost for 2 persons
Aisha Waakye,1 votes4.0,"Labone, Accra","African, Ghanaian, Street Food","Breakfast, Cash only, Lunch",₵25 approx. cost for 2 persons
Pinkberry (East Legon),2 votes3.5,"East Legon, Accra","Froyo, Yogurt","Great for Groups, Great for Kids, New & Hot, PoS",₵35 approx. cost for 2 persons
Lord Of The Wings (Cantonments),1 votes3.5,"Cantonments, Accra","American, Burgers, Ice Cream, Salads, Sandwiches, Steak","Bar & Lounge, Brunch, Dinner, Great for Groups, Great for Kids, Late Night Dining, Lunch, Outdoor Seating, Shisha, Wifi",₵250 approx. cost for 2 persons
Kona Cafe & Grill,1 votes3.5,"Osu, Accra","Barbecue, Grills, Street Food","Bar & Lounge, Great for Groups, Late Night Dining, Live Music, Outdoor Seating, PoS, Rooftop, Shisha, Wifi",₵125 approx. cost for 2 persons
Koffee Lounge (Bawaleshie),4 votes3.3,"East Legon, Accra","Chinese, Salads, Sandwiches","Breakfast, Dinner, Lunch, Wifi",₵60 approx. cost for 2 persons
Chop Bar (A&C Mall),2 votes3.0,"East Legon, Accra","Fast Food, Ghanaian","Breakfast, Chop Bar, Dinner, Lunch, PoS",₵80 approx. cost for 2 persons
Sweet Roses (Marina Mall),1 votes1.5,"Airport City, Accra","Asian, Chinese, Fast Food","Dinner, Lunch",₵60 approx. cost for 2 persons
Oriental Patisserie (Labone),1 votes1.0,"Labone, Accra","Bakery, Dessert, Ice Cream, Pastries, Sandwiches","Breakfast, Cafe, Dinner, Lunch, PoS",₵50 approx. cost for 2 persons
Oriental Patisserie,1 votes1.0,"Reg Gray Est, Accra","Bakery, Dessert, Ice Cream, Pastries, Sandwiches","Breakfast, Cafe, Dinner, Lunch, PoS",₵50 approx. cost for 2 persons
Celsbridge Bar & Grill,1 votes1.0,"Labone, Accra","Barbecue, Burgers, Ghanaian, Grills, Inter-Continental, Pizza","Breakfast, Brunch, Dinner, Late Night Dining, Live Music, Lunch, Outdoor Seating, PoS",₵100 approx. cost for 2 persons
Coco Vanilla (East Legon),1 votes1.0,"East Legon, Accra","Grills, Juice & Smoothies, Pancake, Waffle","Bar & Lounge, Breakfast, Great for Groups, Lunch, Outdoor Seating, Shisha",₵100 approx. cost for 2 persons
Burger King (Airport City Shell),1 votes1.0,"Airport City, Accra","American, Burgers, Fast Food","Breakfast, Dinner, Great for Groups, Great for Kids, Lunch, PoS, Wifi",₵55 approx. cost for 2 persons
Chez Clarisse Mama Africa,0,"Osu, Accra","African, Ivorian, Street Food","Bar & Lounge, Chop Bar, Great for Groups",₵75 approx. cost for 2 persons
Tip Top Chinese Restaurant,0,"Osu, Accra","Asian, Chinese","Great for Groups, Late Night Dining, PoS",₵130 approx. cost for 2 persons
Regal Chinese Restaurant,0,"Osu, Accra","Asian, Chinese",PoS,₵150 approx. cost for 2 persons
Mamma Mia Pizzeria,0,"Osu, Accra","Burgers, Italian, Pizza, Salads, Seafood","Bar & Lounge, Great for Groups, Late Night Dining, Outdoor Seating, PoS",₵150 approx. cost for 2 persons
Rockefellas Sushi & Grill,0,"Osu, Accra","Asian, Barbecue, Burgers, Grills, Japanese, Steak, Sushi","Bar & Lounge, Great for Groups, Late Night Dining, Outdoor Seating, PoS, Shisha",₵200 approx. cost for 2 persons
Monsoon,0,"Osu, Accra","Asian, Barbecue, Grills, Japanese, Seafood, Sushi","Bar & Lounge, Great for Groups, Late Night Dining, Outdoor Seating, PoS",₵200 approx. cost for 2 persons
Pearl Chinese,0,"Osu, Accra","Asian, Chinese","Great for Groups, Late Night Dining, PoS",₵200 approx. cost for 2 persons
Aunty Wang's Kitchen,0,"Osu, Accra","Asian, Chinese","Late Night Dining, PoS",₵150 approx. cost for 2 persons
Coco Lounge,0,"Airport City, Accra","American, Bakery, British, Coffee & Tea, Dessert, Pastries","Bar & Lounge, Brunch, Great for Groups, Late Night Dining, PoS, Romantic",₵120 approx. cost for 2 persons
Urban Grill,0,"Airport City, Accra","American, Bakery, Dessert, Seafood, Steak","Bar & Lounge, Brunch, PoS, Romantic",₵200 approx. cost for 2 persons
Polo Club Restaurant & Lounge,0,"Airport Residential, Accra","Italian, Japanese, Mediterranean, Seafood, Steak, Sushi","Bar & Lounge, Great for Groups, Late Night Dining, Outdoor Seating, PoS, Romantic, Fine Dining",₵250 approx. cost for 2 persons
Café Kwae,0,"Airport City, Accra","Coffee & Tea, Dessert, Salads, Sandwiches","Bar & Lounge, Cafe, Great for Groups, PoS",₵110 approx. cost for 2 persons
Josie's Cuppa Cappuccino,0,"Airport Residential, Accra","Coffee & Tea, Sandwiches, Wraps","Cafe, Cash only, Great for Groups, Outdoor Seating, Wifi",₵80 approx. cost for 2 persons
Toro Tapas Bar,0,"Airport City, Accra","European, Grills, Seafood, Spanish","Bar & Lounge, Great for Groups, Live Music, Outdoor Seating, PoS",₵150 approx. cost for 2 persons
Le Tandem,0,"Cantonments, Accra","European, French","Bar & Lounge, Fine Dining, Great for Groups, Outdoor Seating, PoS, Rooftop",₵325 approx. cost for 2 persons
Simret Taste of Ethiopia,0,"Roman Ridge, Accra",Ethiopian,"Buffet, Great for Groups, PoS",₵110 approx. cost for 2 persons
The Venue Restaurant,0,"Adjiringanor, Accra","European, Seafood, Spanish","Bar & Lounge, Great for Groups, Outdoor Seating, PoS",₵150 approx. cost for 2 persons
Sunshine Salad Bar & Restaurant,0,"Osu, Accra","American, Burgers, Healthy Food, Pastries, Salads, Sandwiches, Vegan, Vegetarian, Wraps, Juice & Smoothies, Indian","Great for Groups, PoS",₵100 approx. cost for 2 persons
La Tante DC10,0,"Airport City, Accra","African, Ghanaian, Inter-Continental","Chop Bar, Great for Groups, Great for Kids, PoS",₵85 approx. cost for 2 persons
Pinocchio (Osu),0,"Osu, Accra","Burgers, Coffee & Tea, Dessert, Ice Cream, Italian, Juice & Smoothies, Pastries, Sandwiches, Waffle, Wraps, Yogurt","Brunch, Cafe, Great for Groups, Great for Kids, PoS, Wifi",₵75 approx. cost for 2 persons
Pinocchio (East Legon),0,"East Legon, Accra","Burgers, Dessert, Ice Cream, Italian, Juice & Smoothies, Pastries, Pizza, Sandwiches","Brunch, Cafe, Great for Groups, Great for Kids, Late Night Dining, Outdoor Seating, PoS, Wifi",₵75 approx. cost for 2 persons
Starbites Food & Drinks (Dzorwulu),0,"Dzorwulu, Accra","Burgers, Coffee & Tea, Grills, Inter-Continental, Pizza, Salads, Sandwiches, Seafood","Bar & Lounge, Cafe, Great for Kids, Late Night Dining, PoS",₵100 approx. cost for 2 persons
Starbites Food & Drinks (Nyaho),0,"Airport Residential, Accra","Burgers, Coffee & Tea, Grills, Inter-Continental, Pastries, Pizza, Salads, Sandwiches, Seafood","Cafe, Great for Groups, Great for Kids, Outdoor Seating, PoS",₵100 approx. cost for 2 persons
Vida e Caffè (One Airport),0,"Airport City, Accra","Burgers, Coffee & Tea, Dessert, Juice & Smoothies, Pastries, Salads, Sandwiches, Wraps","Cafe, Great for Groups, Great for Kids, Outdoor Seating, PoS, Wifi",₵50 approx. cost for 2 persons
Vida e Caffè (Labone),0,"Labone, Accra","Burgers, Coffee & Tea, Dessert, Juice & Smoothies, Pastries, Salads, Sandwiches, Wraps","Bar & Lounge, Cafe, Great for Groups, Great for Kids, Late Night Dining, Outdoor Seating, PoS, Rooftop, Wifi",₵50 approx. cost for 2 persons
Vida e Caffè (Icon House),0,"Airport City, Accra","Burgers, Coffee & Tea, Dessert, Juice & Smoothies, Pastries, Salads, Sandwiches, Wraps","Cafe, Great for Groups, Great for Kids, Outdoor Seating, PoS, Wifi",₵50 approx. cost for 2 persons
Vida e Caffè (AFC),0,"Victoria Borg, Accra","Burgers, Coffee & Tea, Dessert, Juice & Smoothies, Pastries, Salads, Sandwiches, Wraps","Cafe, Great for Groups, Great for Kids, Outdoor Seating, PoS, Wifi",₵50 approx. cost for 2 persons
Vida e Caffè (Meridian Apartments),0,"Airport City, Accra","Burgers, Coffee & Tea, Dessert, Juice & Smoothies, Pastries, Salads, Sandwiches, Wraps","Cafe, Great for Groups, Great for Kids, Outdoor Seating, PoS, Wifi",₵50 approx. cost for 2 persons
Nicolino,0,"Airport Residential, Accra","European, Italian, Mediterranean, Pizza, Salads","Brunch, Great for Groups, Great for Kids, Outdoor Seating, Romantic",₵80 approx. cost for 2 persons
DNR Turkish Cafe & Restaurant,0,"East Legon, Accra","Coffee & Tea, Mediterranean, Pizza, Turkish, Vegan, Vegetarian","Great for Groups, Great for Kids, Outdoor Seating, PoS, Wifi",₵80 approx. cost for 2 persons
Indian Restaurant Nirvana INN,0,"East Legon, Accra","Indian, Vegan, Vegetarian","Breakfast, Great for Groups, Great for Kids, Late Night Dining, Lunch, Outdoor Seating, PoS",₵125 approx. cost for 2 persons
Branche,0,"Airport Residential, Accra","African, Coffee & Tea, Ghanaian, Inter-Continental, Pastries, Sandwiches","Breakfast, Brunch, Buffet, Dinner, Lunch, Outdoor Seating, Great for Groups, Great for Kids",₵250 approx. cost for 2 persons
The Deli,0,"Victoria Borg, Accra","African, Coffee & Tea, Ghanaian, Inter-Continental, Sandwiches, Wraps","Bar & Lounge, Breakfast, Brunch, Buffet, Dinner, Lunch, Outdoor Seating, PoS",₵150 approx. cost for 2 persons
Sankofa Restaurant,0,"Victoria Borg, Accra","American, European, Inter-Continental, Mediterranean, Seafood","Breakfast, Brunch, Dinner, Lunch, PoS",₵200 approx. cost for 2 persons
One2One Lounge Bar,0,"Adjiringanor, Accra","American, European, Grills, Inter-Continental, Steak","Bar & Lounge, Breakfast, Brunch, Dinner, Lunch, PoS",₵201 approx. cost for 2 persons
+233 Jazz Bar & Grill,0,"North Ridge, Accra","Barbecue, Burgers, Grills","Bar & Lounge, Great for Groups, Late Night Dining, Live Music, Outdoor Seating, PoS",₵150 approx. cost for 2 persons
Pool Bar & BBQ,0,"Victoria Borg, Accra","Barbecue, Bar Food, Grills, Seafood","Breakfast, Brunch, Dinner, Lunch, PoS",₵200 approx. cost for 2 persons
Zion Thai Restaurant,0,"Osu, Accra","Asian, Thai","Dinner, Great for Groups, Lunch, PoS",₵110 approx. cost for 2 persons
Chop Italy,0,"Airport City, Accra","Coffee & Tea, Italian","Breakfast, Lunch",₵75 approx. cost for 2 persons
Papa Cuisine,0,"Airport Residential, Accra","Ghanaian, Inter-Continental, Salads","Brunch, Great for Groups, Great for Kids, Outdoor Seating, Romantic",₵75 approx. cost for 2 persons
Heritage Indian Restaurant,0,"Osu, Accra","Asian, Chinese, Indian","Dinner, Great for Groups, Great for Kids, Late Night Dining, Lunch, PoS",₵200 approx. cost for 2 persons
Noble House Chinese Restaurant,0,"Osu, Accra","Asian, Chinese","Dinner, Great for Groups, Great for Kids, Late Night Dining, Lunch, PoS",₵250 approx. cost for 2 persons
Bread&Wine,0,"Osu, Accra","French, European, Mediterranean, Bakery","Bar & Lounge, Breakfast, Brunch, Dinner, Lunch",₵200 approx. cost for 2 persons
An exception occured,,,,,
Noble House Chinese Restaurant (East Legon),0,"East Legon, Accra","Asian, Chinese, Indian","Dinner, Great for Groups, Great for Kids, Late Night Dining, Lunch, PoS",₵250 approx. cost for 2 persons
Yasmina Lebanese Cuisine,0,"Airport City, Accra","Grills, Lebanese, Mediterranean","Dinner, Great for Groups, Great for Kids, Lunch, PoS",₵125 approx. cost for 2 persons
The Cupcake Boutique,0,"Labone, Accra","Coffee & Tea, Dessert, Pastries, Sandwiches","Breakfast, Brunch, Cafe, Lunch, PoS, Wifi",₵75 approx. cost for 2 persons
Le Magellan,0,"Osu, Accra","European, French, Lebanese, Mediterranean","Dinner, Fine Dining, Great for Groups, Lunch, PoS",₵350 approx. cost for 2 persons
Tandoor Indian Restaurant,0,"Labone, Accra","Indian, Vegan, Vegetarian","Dinner, Karaoke, Late Night Dining, Outdoor Seating, PoS",₵150 approx. cost for 2 persons
Filli B's Garden Grill,0,"East Legon, Accra","Barbecue, Grills","Bar & Lounge, Brunch, Dinner, Great for Groups, Great for Kids, Lunch, Outdoor Seating, PoS",₵125 approx. cost for 2 persons
Osteria Michelangelo,0,"Airport Residential, Accra","European, Italian","Dinner, Fine Dining, Lunch, PoS, Wifi",₵350 approx. cost for 2 persons
Captain Hook's Restaurant,0,"Cantonments, Accra",Seafood,"Bar & Lounge, Dinner, Great for Groups, Great for Kids, Lunch, PoS",₵190 approx. cost for 2 persons
Country Kitchen,0,"Osu, Accra","Chinese, Ghanaian, Inter-Continental","Breakfast, Cash only, Chop Bar, Dinner, Lunch",₵90 approx. cost for 2 persons
Veda Authentic Indian Restaurant,0,"Teshi, Accra","Chinese, Indian, Thai, Vegan, Vegetarian","Dinner, Lunch",₵125 approx. cost for 2 persons
Champs Sports Bar & Grill,0,"Kokomlemle, Accra","Burgers, Grills, Pizza, Sandwiches, Vegetarian","Bar & Lounge, Breakfast, Dinner, Late Night Dining, Lunch",₵90 approx. cost for 2 persons
Padthai Restaurant,0,"East Legon, Accra","Asian, Thai, Vegan, Vegetarian","Dinner, Great for Groups, Great for Kids, Lunch, PoS",₵150 approx. cost for 2 persons
Krua Thai (Labone),0,"Labone, Accra","Asian, Seafood, Thai, Vegan, Vegetarian","Bar & Lounge, Dinner, Great for Groups, Lunch, PoS",₵85 approx. cost for 2 persons
Le Grand Ecuyer,0,"Osu, Accra","African, French, Ghanaian, Ivorian, Seafood, Togolese","Breakfast, Dinner, Lunch, PoS",₵100 approx. cost for 2 persons
Krua Thai,0,"East Legon, Accra","Asian, Seafood, Thai, Vegan, Vegetarian","Bar & Lounge, Dinner, Great for Groups, Lunch, PoS",₵85 approx. cost for 2 persons
Get Stuffed Deli,0,"Labone, Accra","American, Burgers, Pizza, Sandwiches, Wraps","Lunch, PoS",₵75 approx. cost for 2 persons
Pataase,0,"Kokomlemle, Accra","African, Ghanaian, Inter-Continental, Nigerian, Pizza, Salads, Sandwiches","Bar & Lounge, Breakfast, Brunch, Buffet, Dinner, Great for Groups, Great for Kids, Lunch, Outdoor Seating, PoS",₵100 approx. cost for 2 persons
Atinka,0,"Reg Gray Est, Accra","African, Ghanaian, Inter-Continental, Nigerian, Pizza, Salads, Sandwiches","Bar & Lounge, Breakfast, Brunch, Buffet, Dinner, Great for Groups, Great for Kids, Lunch, Outdoor Seating, PoS",₵100 approx. cost for 2 persons
Roots Flavours,0,"Cantonments, Accra","Barbecue, Ghanaian, Inter-Continental, Pizza, Salads","Bar & Lounge, Breakfast, Great for Groups, Great for Kids, Live Music, Lunch, PoS",₵100 approx. cost for 2 persons
Chez Afrique,0,"East Legon, Accra","African, Ghanaian","Bar & Lounge, Dinner, Great for Groups, Live Music, Lunch, PoS",₵100 approx. cost for 2 persons
Pork Office,0,"Reg Gray Est, Accra","African, Ghanaian, Street Food","Chop Bar, Dinner, Late Night Dining, Lunch, Outdoor Seating, PoS",₵40 approx. cost for 2 persons
Mazera,0,"Osu, Accra","African, Ghanaian","Breakfast, Chop Bar, Dinner, Great for Groups, Lunch, Outdoor Seating, PoS",₵60 approx. cost for 2 persons
FT. Tawakaltu Allalah,0,"East Legon, Accra","African, Ghanaian, Inter-Continental, Street Food","Breakfast, Cash only, Dinner, Lunch",₵25 approx. cost for 2 persons
Abi's Special Waakye,0,"East Legon, Accra","African, Ghanaian, Street Food","Breakfast, Cash only, Lunch",₵25 approx. cost for 2 persons
Melgees Eatery,0,"Dansoman, Accra","African, Ghanaian, Juice & Smoothies, Sandwiches","Breakfast, Cash only, Lunch, Outdoor Seating",₵30 approx. cost for 2 persons
Waakye Exclusive,0,"Airport Residential, Accra","African, Ghanaian, Street Food","Breakfast, Cash only, Dinner, Lunch",₵45 approx. cost for 2 persons
Fulera Special Waakye (East Legon),0,"East Legon, Accra","African, Ghanaian, Street Food","Breakfast, Cash only, Dinner, Lunch",₵30 approx. cost for 2 persons
Final Touch Waakye Canteen,0,"East Legon, Accra","African, Ghanaian, Street Food","Breakfast, Cash only, Dinner, Lunch",₵25 approx. cost for 2 persons
Fulera Special Waakye (Madina),0,"Madina, Accra","African, Ghanaian, Street Food","Breakfast, Cash only, Dinner, Lunch",₵30 approx. cost for 2 persons
Sisters Waakye Joint,0,"Adabraka, Accra","African, Ghanaian","Breakfast, Cash only, Dinner, Late Night Dining, Lunch",₵35 approx. cost for 2 persons
Ikon Allah Waakye (East Legon),0,"East Legon, Accra","African, Ghanaian, Street Food","Breakfast, Cash only, Dinner, Lunch",₵25 approx. cost for 2 persons
Auntie Muni Waakye,0,"Labone, Accra","African, Ghanaian, Street Food","Chop Bar, Dinner, Lunch, Outdoor Seating",₵35 approx. cost for 2 persons
Extra O Waakye,0,"Lapaz, Accra","African, Ghanaian, Street Food","Cash only, Dinner, Great for Groups, Great for Kids, Late Night Dining",₵30 approx. cost for 2 persons
Hajia Amina Waakye & Rice Special,0,"Osu, Accra","African, Ghanaian, Street Food","Breakfast, Cash only, Dinner, Lunch",₵30 approx. cost for 2 persons
Auntie Mary Special Waakye,0,"Labadi, Accra","African, Ghanaian, Street Food","Breakfast, Cash only, Dinner, Lunch",₵25 approx. cost for 2 persons
Hajia Waakye Special Boutique,0,"Madina, Accra","African, Ghanaian","Breakfast, Cash only, Dinner, Lunch",₵25 approx. cost for 2 persons
Allerchino Waakye,0,"Osu, Accra","African, Ghanaian, Street Food","Breakfast, Cash only, Lunch",₵35 approx. cost for 2 persons
Ikon Allah Waakye,0,"Labadi, Accra","African, Ghanaian, Street Food","Cash only, Dinner, Lunch",₵30 approx. cost for 2 persons
Gold Coast Restaurant & Cocktail Bar,0,"Airport Residential, Accra","Barbecue, Ghanaian, Grills, Pizza, Seafood","Bar & Lounge, Late Night Dining, Live Music, Outdoor Seating, Buffet",₵150 approx. cost for 2 persons
Tea Baa,0,"Osu, Accra","Coffee & Tea, Juice & Smoothies, Sandwiches","Breakfast, Cafe, Outdoor Seating",₵65 approx. cost for 2 persons
Pizza Guy,0,"East Legon, Accra","Fast Food, Pizza","Great for Groups, Great for Kids, PoS",₵45 approx. cost for 2 persons
Chix & Ribs (A&C Mall),0,"East Legon, Accra","American, Burgers, Fast Food, Juice & Smoothies, Pizza, Waffle","Great for Groups, Great for Kids, Outdoor Seating, PoS",₵85 approx. cost for 2 persons
Sai Wine & Champagne Cafè,0,"Labone, Accra","American, British, Italian","Bar & Lounge, Brunch, Cafe, Lunch, PoS, Romantic",₵100 approx. cost for 2 persons
Anita's Bar & Restaurant,0,"Labone, Accra","African, Barbecue, Grills, Liberian","Bar & Lounge, Cash only, Chop Bar, Dinner, Great for Groups, Lunch",₵55 approx. cost for 2 persons
Chix & Ribs (Osu),0,"Osu, Accra","American, Burgers, Fast Food, Juice & Smoothies, Pizza","Dinner, Great for Groups, Great for Kids, Late Night Dining, Lunch, Outdoor Seating, PoS",₵85 approx. cost for 2 persons
Burger & Relish (East Legon),0,"East Legon, Accra","American, Burgers, Juice & Smoothies","Bar & Lounge, Brunch, Dinner, Great for Groups, Great for Kids, Late Night Dining, Live Music, Lunch, PoS, Romantic, Wifi",₵100 approx. cost for 2 persons
XO Restaurant & Cocktail Bar,0,"Airport City, Accra","Asian, Thai","Bar & Lounge, Dinner, Great for Groups, Lunch, New & Hot, PoS, Romantic",₵200 approx. cost for 2 persons
Apeanti's Kitchen,0,"North Legon, Accra",Ghanaian,"Cash only, Chop Bar",₵25 approx. cost for 2 persons
 Steak Escape (Achimota),0,"Dome, Accra","American, Fast Food, Sandwiches, Steak","Dinner, Lunch, PoS",₵100 approx. cost for 2 persons
Chop Bar (Achimota),0,"Dome, Accra","Fast Food, Ghanaian","Breakfast, Chop Bar, Dinner, Lunch, PoS",₵80 approx. cost for 2 persons
Sweet Roses,0,"Airport Residential, Accra","Asian, Chinese","Dinner, Lunch",₵60 approx. cost for 2 persons
Sweet Roses (Achimota),0,"Dome, Accra","Asian, Chinese, Fast Food","Dinner, Lunch",₵60 approx. cost for 2 persons
Steak Escape (Accra Mall),0,"Airport Residential, Accra","American, Fast Food, Juice & Smoothies, Sandwiches, Steak","Lunch, Dinner, PoS",₵100 approx. cost for 2 persons
Jamestown Cafe,0,"Ashiedu Keteke, Accra","Inter-Continental, Seafood","Breakfast, Brunch, Cafe, Dinner, Great for Groups, Great for Kids, Lunch",₵75 approx. cost for 2 persons
Pizza Hut (Accra Mall),0,"Airport Residential, Accra",Pizza,"Bar & Lounge, Great for Groups, Great for Kids, PoS",₵50 approx. cost for 2 persons
Pizza Hut (Achimota),0,"Dome, Accra",Pizza,"Bar & Lounge, Great for Groups, Great for Kids, PoS",₵50 approx. cost for 2 persons
Wafflemania (Ringway),0,"North Ridge, Accra","American, Crepes, Dessert, Ice Cream, Waffle","Breakfast, Dinner, Great for Groups, Great for Kids, Lunch, PoS",₵60 approx. cost for 2 persons
Wafflemania (East Legon),0,"East Legon, Accra","American, Crepes, Dessert, Ice Cream, Waffle","Breakfast, Dinner, Great for Groups, Great for Kids, Lunch, PoS",₵60 approx. cost for 2 persons
Ninano,0,"East Legon, Accra","Japanese, Korean, Sushi","Bar & Lounge, Dinner, Lunch, Outdoor Seating",₵175 approx. cost for 2 persons
Ci Gusta (Airport),0,"Airport Residential, Accra","Coffee & Tea, Dessert, Froyo, Ice Cream, Juice & Smoothies, Pastries, Sandwiches","Breakfast, Cafe, Dinner, Lunch, PoS, Wifi",₵100 approx. cost for 2 persons
Second Cup (Accra Mall),0,"Airport Residential, Accra","Coffee & Tea, Dessert, Pastries, Salads","Breakfast, Cafe, Dinner, Late Night Dining, Lunch, Wifi",₵50 approx. cost for 2 persons
Second Cup (Palace),0,"Airport Residential, Accra","Coffee & Tea, Dessert, Pastries, Salads","Breakfast, Cafe, Dinner, Late Night Dining, Lunch, Wifi",₵50 approx. cost for 2 persons
Second Cup (Achimota),0,"Dome, Accra","Coffee & Tea, Dessert, Pastries, Salads","Breakfast, Cafe, Dinner, Late Night Dining, Lunch, Outdoor Seating, Wifi",₵50 approx. cost for 2 persons
Ci Gusta (Osu),0,"Osu, Accra","Coffee & Tea, Dessert, Froyo, Ice Cream, Juice & Smoothies, Pastries, Sandwiches","Breakfast, Cafe, Dinner, Lunch, PoS, Wifi",₵100 approx. cost for 2 persons
Second Cup (Osu),0,"Osu, Accra","Coffee & Tea, Dessert, Pastries, Salads","Breakfast, Cafe, Dinner, Late Night Dining, Lunch, Wifi",₵50 approx. cost for 2 persons
